word,frequency,status
gameball,16,active
caaba,1,active
gaatch,6,active
d,2,active
da,1,active
ga,1,active
eoan,1,active
eoanthropus,1,active
deaccession,1,active
game,1,active
a,1,active
gab,3,active
gabardine,2,active
gabardines,1,active
newberyite,4,active
newari,2,active
iacchic,1,active
oaf,1,active
dj,1,active
raadzaal,1,active
newr,2,deleted
gaatchdurubc,1,active
uchcihivrbrb,1,active
jaap,3,active
amb,1,active
hebjnde,1,active
de,1,active
je,1,active
toadback,3,active
ndek,2,active
kaaba,1,deleted
1k,2,deleted
new,1,active
ldfnind,1,active
1ka,1,active
ka,0,deleted
$ne,1,active
dnieper,1,active
newberyiteguyi,1,deleted
fa,1,active
kaama,1,active
faade,1,active
house,1,active
wr,1,active
ebad,1,active
irshad,2,active
zubair,4,deleted
hadi,1,active
we,3,active
zub,1,active
3ozzzz,1,active
blah,2,active
have,4,active
fucked,1,active
nigguh,2,active
niggarded,1,active
